------------------------------------------------------------
 EC
------------------------------------------------------------
k ((nm)-1), E (eV)
                   0,              1.77611
            0.191468,              1.78341
            0.382936,              1.80478
            0.574404,              1.83948
            0.765872,              1.88707
             0.95734,              1.94705
             1.14881,              1.99385
             1.34028,               1.9957
             1.53174,              2.00124
             1.72321,              2.01041
             1.91468,              2.02312
             2.10615,              2.03929
             2.29762,              2.05882
             2.48908,              2.08161
             2.68055,              2.10755
             2.87202,              2.13651
             3.06349,              2.16839
             3.25496,              2.20305
             3.44642,              2.24037
             3.63789,              2.28021
             3.82936,              2.32243
             4.02083,              2.36688
              4.2123,              2.41341
             4.40376,              2.46186
             4.59523,              2.51208
              4.7867,              2.56391
             4.97817,              2.61717
             5.16964,              2.67168
              5.3611,              2.72728
             5.55257,              2.78376

------------------------------------------------------------
 EV
------------------------------------------------------------
k ((nm)-1), E (eV)
                   0,             0.511284
            0.191468,             0.505066
            0.382936,             0.487154
            0.574404,             0.460347
            0.765872,             0.432367
             0.95734,              0.42046
             1.14881,             0.430049
             1.34028,             0.441714
             1.53174,             0.443539
             1.72321,             0.432049
             1.91468,             0.406959
             2.10615,             0.369406
             2.29762,             0.321275
             2.48908,             0.264875
             2.68055,             0.212289
             2.87202,             0.201252
             3.06349,             0.178194
             3.25496,             0.143407
             3.44642,            0.0975984
             3.63789,            0.0417624
             3.82936,           -0.0229494
             4.02083,            -0.095324
              4.2123,            -0.174158
             4.40376,            -0.258298
             4.59523,            -0.346663
              4.7867,            -0.429345
             4.97817,            -0.501425
             5.16964,            -0.579264
              5.3611,            -0.662456
             5.55257,            -0.750479

