------------------------------------------------------------
 EC
------------------------------------------------------------
k ((nm)-1), E (eV)
                   0,              2.06541
            0.191626,              2.07637
            0.383252,              2.10804
            0.574878,              2.15626
            0.766504,              2.21463
             0.95813,              2.28183
             1.14976,              2.35953
             1.34138,              2.44788
             1.53301,              2.54622
             1.72463,              2.65359
             1.91626,              2.76882
             2.10789,              2.86833
             2.29951,              2.88024
             2.49114,              2.89388
             2.68276,              2.90933
             2.87439,              2.92664
             3.06602,              2.94582
             3.25764,              2.96686
             3.44927,              2.98973
             3.64089,              3.01439
             3.83252,              3.04079
             4.02414,              3.06886
             4.21577,              3.09853
              4.4074,              3.12971
             4.59902,              3.16229
             4.79065,              3.19616
             4.98227,              3.23115
              5.1739,              3.26707
             5.36553,              3.30372
             5.55715,              3.34079

------------------------------------------------------------
 EV
------------------------------------------------------------
k ((nm)-1), E (eV)
                   0,            -0.131601
            0.191626,            -0.140101
            0.383252,            -0.164509
            0.574878,            -0.201777
            0.766504,            -0.247581
             0.95813,            -0.297324
             1.14976,            -0.347126
             1.34138,            -0.394213
             1.53301,             -0.43662
             1.72463,            -0.472987
             1.91626,            -0.503096
             2.10789,            -0.528408
             2.29951,            -0.551449
             2.49114,            -0.574653
             2.68276,            -0.599759
             2.87439,              -0.6278
             3.06602,            -0.659297
             3.25764,            -0.694427
             3.44927,            -0.733158
             3.64089,            -0.775323
             3.83252,            -0.820677
             4.02414,            -0.868931
             4.21577,            -0.919771
              4.4074,             -0.97288
             4.59902,             -1.02794
             4.79065,             -1.08464
             4.98227,              -1.1427
              5.1739,             -1.20181
             5.36553,             -1.26173
             5.55715,              -1.3222

