------------------------------------------------------------
 EC
------------------------------------------------------------
k ((nm)-1), E (eV)
                   0,               1.4115
            0.199467,              1.41894
            0.398935,              1.44115
            0.598402,              1.47776
             0.79787,               1.5282
            0.997337,              1.59175
              1.1968,              1.66757
             1.39627,              1.75476
             1.59574,              1.85241
             1.79521,              1.95961
             1.99467,              2.06508
             2.19414,              2.06796
             2.39361,              2.07384
             2.59308,              2.08267
             2.79254,              2.09439
             2.99201,              2.10894
             3.19148,              2.12625
             3.39095,              2.14627
             3.59041,              2.16894
             3.78988,              2.19418
             3.98935,              2.22194
             4.18882,              2.25216
             4.38828,              2.28478
             4.58775,              2.31975
             4.78722,              2.35699
             4.98669,              2.39647
             5.18615,              2.43812
             5.38562,              2.48189
             5.58509,              2.52772
             5.78456,              2.57557

------------------------------------------------------------
 EV
------------------------------------------------------------
k ((nm)-1), E (eV)
                   0,            -0.226072
            0.199467,            -0.232192
            0.398935,             -0.25041
            0.598402,            -0.280325
             0.79787,            -0.321312
            0.997337,            -0.372586
              1.1968,            -0.433258
             1.39627,            -0.502392
             1.59574,            -0.579045
             1.79521,            -0.662291
             1.99467,            -0.705151
             2.19414,            -0.702698
             2.39361,            -0.708106
             2.59308,            -0.721338
             2.79254,            -0.742256
             2.99201,            -0.770633
             3.19148,            -0.806165
             3.39095,            -0.848488
             3.59041,            -0.897194
             3.78988,            -0.951842
             3.98935,             -1.01197
             4.18882,             -1.07711
             4.38828,              -1.1468
             4.58775,             -1.22057
             4.78722,             -1.29797
             4.98669,             -1.37856
             5.18615,             -1.46192
             5.38562,             -1.54764
             5.58509,             -1.63532
             5.78456,              -1.7246

