------------------------------------------------------------
 EC
------------------------------------------------------------
k ((nm)-1), E (eV)
                   0,              1.53402
            0.191626,              1.55154
            0.383252,              1.60182
            0.574878,              1.67921
            0.766504,               1.7769
             0.95813,              1.88864
             1.14976,              1.97229
             1.34138,              1.97229
             1.53301,              1.97443
             1.72463,              1.97889
             1.91626,              1.98578
             2.10789,              1.99517
             2.29951,              2.00709
             2.49114,              2.02152
             2.68276,              2.03847
             2.87439,              2.05789
             3.06602,              2.07972
             3.25764,              2.10393
             3.44927,              2.13042
             3.64089,              2.15912
             3.83252,              2.18995
             4.02414,              2.22281
             4.21577,              2.25758
              4.4074,              2.29416
             4.59902,              2.33243
             4.79065,              2.37225
             4.98227,              2.41349
              5.1739,                2.456
             5.36553,              2.49962
             5.55715,              2.54419

------------------------------------------------------------
 EV
------------------------------------------------------------
k ((nm)-1), E (eV)
                   0,           -0.0888813
            0.191626,           -0.0959209
            0.383252,            -0.107965
            0.574878,             -0.11842
            0.766504,            -0.131193
             0.95813,            -0.149473
             1.14976,             -0.17127
             1.34138,            -0.189419
             1.53301,            -0.210202
             1.72463,            -0.237569
             1.91626,            -0.268269
             2.10789,            -0.294122
             2.29951,            -0.324644
             2.49114,            -0.361581
             2.68276,            -0.403178
             2.87439,             -0.44052
             3.06602,            -0.481092
             3.25764,            -0.527141
             3.44927,            -0.577973
             3.64089,            -0.629395
             3.83252,            -0.679028
             4.02414,            -0.732991
             4.21577,            -0.791058
              4.4074,            -0.852528
             4.59902,            -0.911276
             4.79065,            -0.971308
             4.98227,             -1.03466
              5.1739,             -1.10094
             5.36553,             -1.16519
             5.55715,             -1.22852

