74803.185500, 0.000000 
74800.000000, 0.000000 
50018.078234, 102385.518262 

74803.205427, 0.053613 
74800.000000, 0.000000 
50018.078234, 102385.518262 

74859.881459, 536.098902 
74798.078627, 536.128389 
49628.119681, 102575.105347 

74885.329047, 1071.991056 
74792.314608, 1072.229235 
49237.442536, 102763.207192 

74899.030027, 1607.720868 
74782.708239, 1608.274997 
48846.052457, 102949.821075 

74904.022156, 2143.265880 
74769.260013, 2144.238135 
48453.955109, 103134.944293 

74901.594869, 2678.599674 
74751.970620, 2680.091117 
48061.156171, 103318.574165 

74892.445200, 3213.693695 
74730.840950, 3215.806413 
47667.661330, 103500.708033 

74876.997709, 3748.517873 
74705.872088, 3751.356501 
47273.476283, 103681.343260 

74855.528105, 4283.040835 
74677.065316, 4286.713868 
46878.606739, 103860.477229 

74828.220451, 4817.229936 
74644.422115, 4821.851012 
46483.058415, 104038.107347 

74795.196667, 5351.051165 
74607.944161, 5356.740440 
46086.837038, 104214.231043 

74756.077066, 5890.314378 
74567.633328, 5891.354672 
45689.948345, 104388.845765 

74707.667466, 6476.285045 
74523.491688, 6425.666245 
45292.398083, 104561.948987 

74653.739878, 7061.777661 
74475.521507, 6959.647708 
44894.192009, 104733.538200 

74594.623967, 7646.780006 
74423.725251, 7493.271629 
44495.335887, 104903.610921 

74530.714560, 8231.291442 
74368.105581, 8026.510593 
44095.835495, 105072.164687 

74462.336168, 8815.309664 
74308.665353, 8559.337207 
43695.696615, 105239.197058 

74389.714897, 9398.825816 
74245.407622, 9091.724097 
43294.925042, 105404.705614 

74312.998913, 9981.824763 
74178.335637, 9623.643912 
42893.526579, 105568.687960 

74232.284631, 10564.286745 
74107.452844, 10155.069326 
42491.507038, 105731.141721 

74147.636104, 11146.188889 
74032.762884, 10685.973037 
42088.872240, 105892.064545 

74059.097388, 11727.506282 
73954.269595, 11216.327772 
41685.628015, 106051.454101 

73966.700084, 12308.212683 
73871.977009, 11746.106283 
41281.780202, 106209.308083 

73870.467913, 12888.280972 
73785.889353, 12275.281355 
40877.334647, 106365.624203 

73770.419523, 13467.683453 
73696.011051, 12803.825802 
40472.297209, 106520.400199 

73666.570255, 14046.392049 
73602.346720, 13331.712469 
40066.673750, 106673.633830 

73558.933267, 14624.378427 
73504.901171, 13858.914239 
39660.470145, 106825.322878 

73447.520269, 15201.614097 
73403.679410, 14385.404026 
39253.692275, 106975.465144 

73332.342027, 15778.070470 
73298.686639, 14911.154784 
38846.346030, 107124.058456 

73213.408688, 16353.718906 
73189.928250, 15436.139502 
38438.437308, 107271.100662 

73090.730025, 16928.530751 
73077.409832, 15960.331209 
38029.972015, 107416.589634 

72964.315597, 17502.477360 
72961.137163, 16483.702977 
37620.956067, 107560.523263 

72834.174869, 18075.530117 
72841.116219, 17006.227918 
37211.395385, 107702.899467 

72700.317303, 18647.660456 
72717.353164, 17527.879188 
36801.295899, 107843.716183 

72562.752416, 19218.839868 
72589.854357, 18048.629988 
36390.663548, 107982.971373 

72421.489834, 19789.039918 
72458.626348, 18568.453564 
35979.504277, 108120.663021 

72276.539322, 20358.232252 
72323.675879, 19087.323212 
35567.824039, 108256.789132 

72127.910816, 20926.388603 
72185.009882, 19605.212276 
35155.628797, 108391.347735 

71975.614444, 21493.480803 
72042.635481, 20122.094149 
34742.924517, 108524.336883 

71819.660536, 22059.480786 
71896.559991, 20637.942278 
34329.717177, 108655.754650 

71660.059643, 22624.360598 
71746.790916, 21152.730162 
33916.012758, 108785.599133 

71496.822543, 23188.092398 
71593.335950, 21666.431354 
33501.817251, 108913.868451 

71329.960248, 23750.648466 
71436.202976, 22179.019463 
33087.136654, 109040.560747 

71159.484011, 24312.001208 
71275.400068, 22690.468156 
32671.976970, 109165.674188 

70985.405328, 24872.123160 
71110.935486, 23200.751158 
32256.344212, 109289.206961 

70807.735940, 25430.986991 
70942.817679, 23709.842254 
31840.244397, 109411.157277 

70626.487839, 25988.565513 
70771.055285, 24217.715290 
31423.683550, 109531.523372 

70441.673265, 26544.831676 
70595.657126, 24724.344175 
31006.667703, 109650.303502 

70253.304708, 27099.758582 
70416.632215, 25229.702882 
30589.202894, 109767.495946 

70061.394906, 27653.319480 
70233.989748, 25733.765447 
30171.295168, 109883.099009 

69865.956851, 28205.487777 
70047.739108, 26236.505977 
29752.950575, 109997.111017 

69667.003780, 28756.237036 
69857.889863, 26737.898643 
29334.175174, 110109.530318 

69464.549177, 29305.540984 
69664.451768, 27237.917686 
28914.975028, 110220.355285 

69258.606775, 29853.373513 
69467.434759, 27736.537420 
28495.356206, 110329.584313 

69049.190549, 30399.708683 
69266.848957, 28233.732229 
28075.324786, 110437.215820 

68836.314717, 30944.520727 
69062.704668, 28729.476568 
27654.886847, 110543.248249 

68619.993739, 31487.784054 
68855.012380, 29223.744971 
27234.048479, 110647.680063 

68400.242313, 32029.473250 
68643.782762, 29716.512046 
26812.815775, 110750.509751 

68177.075372, 32569.563085 
68429.026665, 30207.752476 
26391.194834, 110851.735824 

67950.508084, 33108.028511 
68210.755124, 30697.441025 
25969.191761, 110951.356816 

67720.555848, 33644.844671 
67988.979350, 31185.552536 
25546.812666, 111049.371284 

67487.234291, 34179.986896 
67763.710738, 31672.061933 
25124.063665, 111145.777810 

67250.559267, 34713.430711 
67534.960860, 32156.944222 
24700.950880, 111240.574997 

67010.546854, 35245.151836 
67302.741468, 32640.174493 
24277.480436, 111333.761473 

