24915.201432, -101885.243780 
 
24940.649019, -101349.351626 
 
24954.349999, -100813.621814 
 
24959.342128, -100278.076802 
 
24956.914842, -99742.743009 
 
24947.765173, -99207.648988 
 
24932.317682, -98672.824810 
 
24910.848077, -98138.301848 
 
24883.540423, -97604.112747 
 
24850.516639, -97070.291518 
 
24811.397039, -96531.028305 
 
24762.987438, -95945.057638 
 
24709.059851, -95359.565021 
 
24649.943939, -94774.562677 
 
24586.034533, -94190.051241 
 
24517.656141, -93606.033019 
 
24445.034870, -93022.516867 
 
24368.318885, -92439.517920 
 
24287.604603, -91857.055938 
 
24202.956076, -91275.153794 
 
24114.417360, -90693.836400 
 
24022.020056, -90113.130000 
 
23925.787885, -89533.061711 
 
23825.739495, -88953.659229 
 
23721.890228, -88374.950634 
 
23614.253239, -87796.964255 
 
23502.840242, -87219.728585 
 
23387.661999, -86643.272213 
 
23268.728661, -86067.623776 
 
23146.049998, -85492.811931 
 
23019.635569, -84918.865323 
 
22889.494842, -84345.812565 
 
22755.637275, -83773.682227 
 
22618.072389, -83202.502815 
 
22476.809806, -82632.302764 
 
22331.859294, -82063.110431 
 
22183.230789, -81494.954080 
 
22030.934416, -80927.861880 
 
21874.980508, -80361.861896 
 
21715.379615, -79796.982084 
 
21552.142515, -79233.250284 
 
21385.280221, -78670.694216 
 
21214.803984, -78109.341474 
 
21040.725300, -77549.219523 
 
20863.055913, -76990.355691 
 
20681.807812, -76432.777170 
 
20496.993237, -75876.511007 
 
20308.624680, -75321.584101 
 
20116.714879, -74768.023203 
 
19921.276824, -74215.854906 
 
19722.323752, -73665.105647 
 
19519.869149, -73115.801698 
 
19313.926747, -72567.969170 
 
19104.510521, -72021.634000 
 
18891.634690, -71476.821956 
 
18675.313712, -70933.558629 
 
18455.562285, -70391.869433 
 
18232.395344, -69851.779598 
 
18005.828056, -69313.314171 
 
17775.875820, -68776.498012 
 
17542.554263, -68241.355787 
 
17305.879240, -67707.911972 
 
17065.866826, -67176.190846 
 
16822.533320, -66646.216489 
 
16575.895236, -66118.012780 
 
16325.969303, -65591.603393 
 
16072.772462, -65067.011798 
 
15816.321861, -64544.261253 
 
15556.634853, -64023.374809 
 
15293.728996, -63504.375300 
 
15027.622043, -62987.285348 
 
14758.331943, -62472.127354 
 
14485.876840, -61958.923502 
 
14210.275063, -61447.695754 
 
13931.545128, -60938.465848 
 
13649.705734, -60431.255296 
 
13364.775756, -59926.085384 
 
13076.774247, -59422.977170 
 
12785.720428, -58921.951480 
 
12491.633692, -58423.028908 
 
12194.533593, -57926.229816 
 
11894.439849, -57431.574329 
 
11591.372333, -56939.082338 
 
11285.351073, -56448.773494 
 
10976.396248, -55960.667212 
 
10664.528182, -55474.782664 
 
10349.767343, -54991.138783 
 
10032.134340, -54509.754259 
 
9711.649915, -54030.647540 
 
9388.334946, -53553.836827 
 
9062.210435, -53079.340080 
 
8733.297515, -52607.175010 
 
8401.617435, -52137.359084 
 
8067.191566, -51669.909520 
 
7730.041392, -51204.843292 
 
7390.188506, -50742.177120 
 
7047.654612, -50281.927481 
 
6702.461515, -49824.110600 
 
6354.631120, -49368.742453 
 
6004.185429, -48915.838767 
 
5651.146539, -48465.415019 
 
5295.536635, -48017.486435 
 
4937.377986, -47572.067992 
 
4576.692946, -47129.174416 
 
4213.503949, -46688.820184 
 
3847.833501, -46251.019521 
 
3479.704184, -45815.786403 
 
3109.138646, -45383.134556 
 
2736.159602, -44953.077457 
 
2360.789828, -44525.628332 
 
1983.052159, -44100.800160 
 
1602.969486, -43678.605669 
 
1220.564750, -43259.057341 
 
835.860944, -42842.167408 
 
448.881103, -42427.947857 
 
59.648307, -42016.410427 
 
-331.814327, -41607.566611 
 
-725.483644, -41201.427656 
 
-1121.336459, -40798.004565 
 
-1519.349555, -40397.308098 
 
-1919.499689, -39999.348770 
 
-2321.763594, -39604.136854 
 
-2726.117985, -39211.682384 
 
-3132.539556, -38821.995150 
 
-3541.004989, -38435.084704 
 
-3951.490953, -38050.960361 
 
-4363.974110, -37669.631194 
 
-4778.431113, -37291.106046 
 
-5194.838614, -36915.393518 
 
-5613.173266, -36542.501982 
 
-6033.411722, -36172.439574 
 
-6455.530640, -35805.214199 
 
-6879.506689, -35440.833531 
 
-7305.316545, -35079.305017 
 
-7732.936899, -34720.635874 
 
-8162.344458, -34364.833091 
 
-8593.515945, -34011.903434 
 
-9026.428105, -33661.853446 
 
-9461.057708, -33314.689445 
 
-9897.381547, -32970.417528 
 
-10335.376444, -32629.043575 
 
-10775.019250, -32290.573246 
 
-11216.286852, -31955.011985 
 
-11659.156168, -31622.365021 
 
-12103.604155, -31292.637370 
 
-12549.607810, -30965.833835 
 
-12997.144170, -30641.959009 
 
-13446.190316, -30321.017279 
 
-13896.723376, -30003.012821 
 
-14348.720523, -29687.949608 
 
-14802.158982, -29375.831409 
 
-15257.016030, -29066.661793 
 
-15713.268995, -28760.444124 
 
-16170.895264, -28457.181573 
 
-16629.872278, -28156.877110 
 
-17090.177539, -27859.533513 
 
-17551.788610, -27565.153364 
 
-18014.683117, -27273.739055 
 
-18478.838748, -26985.292790 
 
-18944.233260, -26699.816582 
 
-19410.844476, -26417.312260 
 
-19878.650289, -26137.781467 
 
-20347.628662, -25861.225665 
 
-20817.757632, -25587.646136 
 
-21289.015308, -25317.043980 
 
-21761.379874, -25049.420124 
 
-22234.829593, -24784.775317 
 
-22709.342805, -24523.110136 
 
-23184.897928, -24264.424986 
 
-23661.473463, -24008.720103 
 
-24139.047991, -23755.995555 
 
