-102367.676758, 24870.319105 
 
-102314.066530, 24878.100352 
 
-102260.458137, 24884.529267 
 
-102206.851440, 24890.151916 
 
-102153.246352, 24895.205618 
 
-102099.642823, 24899.821055 
 
-102046.040818, 24904.080029 
 
-101992.440316, 24908.038104 
 
-101938.841306, 24911.735244 
 
-101885.243780, 24915.201432 
 
-101831.647740, 24918.459907 
 
-101778.053189, 24921.529155 
 
-101724.460132, 24924.424195 
 
-101670.868580, 24927.157444 
 
-101617.278545, 24929.739321 
 
-101563.690038, 24932.178681 
 
-101510.103076, 24934.483131 
 
-101456.517675, 24936.659270 
 
-101402.933853, 24938.712870 
 
-101349.351626, 24940.649019 
 
-101295.771016, 24942.472229 
 
-101242.192043, 24944.186529 
 
-101188.614727, 24945.795535 
 
-101135.039090, 24947.302505 
 
-101081.465155, 24948.710393 
 
-101027.892944, 24950.021885 
 
-100974.322480, 24951.239434 
 
-100920.753788, 24952.365286 
 
-100867.186891, 24953.401507 
 
-100813.621814, 24954.349999 
 
-100760.058583, 24955.212523 
 
-100706.497222, 24955.990709 
 
-100652.937757, 24956.686071 
 
-100599.380214, 24957.300021 
 
-100545.824619, 24957.833873 
 
-100492.270999, 24958.288859 
 
-100438.719380, 24958.666128 
 
-100385.169789, 24958.966763 
 
-100331.622254, 24959.191778 
 
-100278.076802, 24959.342128 
 
-100224.533461, 24959.418715 
 
-100170.992257, 24959.422387 
 
-100117.453220, 24959.353948 
 
-100063.916378, 24959.214157 
 
-100010.381758, 24959.003734 
 
-99956.849390, 24958.723361 
 
-99903.319302, 24958.373685 
 
-99849.791523, 24957.955321 
 
-99796.266082, 24957.468854 
 
-99742.743009, 24956.914842 
 
-99689.222331, 24956.293813 
 
-99635.704080, 24955.606275 
 
-99582.188284, 24954.852708 
 
-99528.674974, 24954.033574 
 
-99475.164179, 24953.149311 
 
-99421.655929, 24952.200341 
 
-99368.150255, 24951.187066 
 
-99314.647186, 24950.109870 
 
-99261.146753, 24948.969121 
 
-99207.648988, 24947.765173 
 
-99154.153919, 24946.498363 
 
-99100.661579, 24945.169015 
 
-99047.171998, 24943.777441 
 
-98993.685207, 24942.323939 
 
-98940.201237, 24940.808794 
 
-98886.720120, 24939.232282 
 
-98833.241887, 24937.594666 
 
-98779.766570, 24935.896200 
 
-98726.294201, 24934.137128 
 
-98672.824810, 24932.317682 
 
-98619.358431, 24930.438088 
 
-98565.895095, 24928.498562 
 
-98512.434834, 24926.499311 
 
-98458.977680, 24924.440534 
 
-98405.523667, 24922.322425 
 
-98352.072827, 24920.145166 
 
-98298.625192, 24917.908935 
 
-98245.180795, 24915.613901 
 
-98191.739670, 24913.260230 
 
-98138.301848, 24910.848077 
 
-98084.867364, 24908.377593 
 
-98031.436251, 24905.848924 
 
-97978.008543, 24903.262208 
 
-97924.584272, 24900.617579 
 
-97871.163473, 24897.915164 
 
-97817.746180, 24895.155086 
 
-97764.332426, 24892.337463 
 
-97710.922246, 24889.462408 
 
-97657.515675, 24886.530027 
 
-97604.112747, 24883.540423 
 
-97550.713495, 24880.493696 
 
-97497.317957, 24877.389938 
 
-97443.926165, 24874.229240 
 
-97390.538156, 24871.011685 
 
-97337.153964, 24867.737356 
 
-97283.773626, 24864.406329 
 
-97230.397176, 24861.018677 
 
-97177.024651, 24857.574469 
 
-97123.656086, 24854.073769 
 
-97070.291518, 24850.516639 
 
-97016.930983, 24846.903137 
 
-96963.574518, 24843.233316 
 
-96910.222159, 24839.507227 
 
-96856.873943, 24835.724916 
 
-96803.529907, 24831.886427 
 
-96750.190089, 24827.991799 
 
-96696.854525, 24824.041068 
 
-96643.523255, 24820.034268 
 
-96589.650458, 24815.928892 
 
-96531.028305, 24811.397039 
 
-96472.410576, 24806.809032 
 
-96413.797323, 24802.164782 
 
-96355.188594, 24797.464237 
 
-96296.584436, 24792.707379 
 
-96237.984891, 24787.894231 
 
-96179.389999, 24783.024851 
 
-96120.799795, 24778.099334 
 
-96062.214315, 24773.117811 
 
-96003.633586, 24768.080446 
 
-95945.057638, 24762.987438 
 
-95886.486493, 24757.839016 
 
-95827.920173, 24752.635437 
 
-95769.358697, 24747.376986 
 
-95710.802079, 24742.063973 
 
-95652.250335, 24736.696729 
 
-95593.703474, 24731.275605 
 
-95535.161506, 24725.800967 
 
-95476.624438, 24720.273199 
 
-95418.092275, 24714.692692 
 
-95359.565021, 24709.059851 
 
-95301.042680, 24703.375084 
 
-95242.525251, 24697.638805 
 
-95184.012737, 24691.851433 
 
-95125.505137, 24686.013384 
 
-95067.002450, 24680.125075 
 
-95008.504675, 24674.186920 
 
-94950.011812, 24668.199328 
 
-94891.523859, 24662.162704 
 
-94833.040814, 24656.077444 
 
-94774.562677, 24649.943939 
 
-94716.089446, 24643.762571 
 
-94657.621121, 24637.533712 
 
-94599.157703, 24631.257725 
 
-94540.699190, 24624.934962 
 
-94482.245585, 24618.565767 
 
-94423.796888, 24612.150471 
 
-94365.353102, 24605.689394 
 
-94306.914230, 24599.182848 
 
-94248.480275, 24592.631131 
 
-94190.051241, 24586.034533 
 
-94131.627133, 24579.393330 
 
-94073.207957, 24572.707791 
 
-94014.793719, 24565.978171 
 
-93956.384427, 24559.204719 
 
-93897.980088, 24552.387672 
 
-93839.580711, 24545.527256 
 
-93781.186305, 24538.623690 
 
-93722.796881, 24531.677183 
 
-93664.412448, 24524.687936 
 
-93606.033019, 24517.656141 
 
-93547.658605, 24510.581981 
 
-93489.289219, 24503.465633 
 
-93430.924875, 24496.307265 
 
-93372.565586, 24489.107039 
 
